event_date,code,market,status_type,status_value,source,source_url,raw_path,confidence,notes
2022-03-24,269620,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=시스웍; 지정사유=상장폐지사유 발생,회생절차 개시신청,자기자본 10억원 미만,자본잠식률 50% 이상"
2023-03-23,217480,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=에스디생명공학; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2023-03-24,046070,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=코다코; 지정사유=상장폐지사유 발생,상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,회생절차 개시신청"
2023-10-27,377460,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=큐에이드; 지정사유=상장적격성 실질심사 대상 결정
2023-11-15,099520,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=DGI; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2024-03-07,096610,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=알에프세미; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2024-03-20,244460,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=올리패스; 지정사유=최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상"
2024-04-08,182400,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=엔케이젠바이오텍코리아; 지정사유=자기자본 10억원 미만,상장적격성 실질심사 대상 결정,상장폐지사유 발생,자본잠식률 50% 이상,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생"
2024-04-09,073640,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=테라사이언스; 지정사유=상장폐지사유 발생,사외이사수 미달"
2024-04-12,258830,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=세종메디칼; 지정사유=상장적격성 실질심사 대상 결정,최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생,상장폐지사유 발생"
2024-04-19,245620,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=EDGC; 지정사유=상장폐지사유 발생,회생절차 개시신청"
2024-04-24,196490,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=디에이테크놀로지; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2024-08-16,005110,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=한창; 지정사유=반기검토의견 의견거절,상장폐지 사유의 발생"
2024-10-07,082660,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=코스나인; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생"
2024-11-25,080720,UNKNOWN,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-08/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=한국유니온제약; 지정사유=상장적격성 실질심사 대상 결정,상장폐지사유 발생,회생절차 개시신청"
