code,name,market,security_type,status,reason
000087,하이트진로2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
000105,유한양행우,KOSPI,구형우선주,exclude,instrument_type_excluded
000145,하이트진로홀딩스우,KOSPI,구형우선주,exclude,instrument_type_excluded
000155,두산우,KOSPI,구형우선주,exclude,instrument_type_excluded
000157,두산2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
000215,DL우,KOSPI,구형우선주,exclude,instrument_type_excluded
000225,유유제약1우,KOSPI,구형우선주,exclude,instrument_type_excluded
000227,유유제약2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
000325,노루홀딩스우,KOSPI,구형우선주,exclude,instrument_type_excluded
0004Y0,디비금융제14호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
000545,흥국화재우,KOSPI,구형우선주,exclude,instrument_type_excluded
000725,현대건설우,KOSPI,구형우선주,exclude,instrument_type_excluded
000815,삼성화재우,KOSPI,구형우선주,exclude,instrument_type_excluded
00088K,한화3우B,KOSPI,신형우선주,exclude,instrument_type_excluded
001045,CJ우,KOSPI,구형우선주,exclude,instrument_type_excluded
00104K,CJ4우(전환),KOSPI,신형우선주,exclude,instrument_type_excluded
001065,JW중외제약우,KOSPI,구형우선주,exclude,instrument_type_excluded
001067,JW중외제약2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
001275,부국증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
001465,BYC우,KOSPI,구형우선주,exclude,instrument_type_excluded
001470,삼부토건,KOSPI,보통주,exclude,managed_issue_current
001515,SK증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
001525,동양우,KOSPI,구형우선주,exclude,instrument_type_excluded
001527,동양2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
001570,금양,KOSPI,보통주,exclude,managed_issue_current
001685,대상우,KOSPI,구형우선주,exclude,instrument_type_excluded
001755,한양증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
001795,대한제당우,KOSPI,구형우선주,exclude,instrument_type_excluded
001840,이화공영,KOSDAQ,보통주,exclude,managed_issue_current
002025,코오롱우,KOSPI,구형우선주,exclude,instrument_type_excluded
002355,넥센타이어1우B,KOSPI,신형우선주,exclude,instrument_type_excluded
002410,범양건영,KOSPI,보통주,exclude,managed_issue_current
002785,진흥기업우B,KOSPI,신형우선주,exclude,instrument_type_excluded
002787,진흥기업2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
002795,아모레퍼시픽홀딩스우,KOSPI,구형우선주,exclude,instrument_type_excluded
00279K,아모레퍼시픽홀딩스3우C,KOSPI,신형우선주,exclude,instrument_type_excluded
002995,금호건설우,KOSPI,구형우선주,exclude,instrument_type_excluded
003075,코오롱글로벌우,KOSPI,구형우선주,exclude,instrument_type_excluded
0030R0,대신밸류리츠,KOSPI,보통주,exclude,instrument_name_excluded
003465,유화증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
003475,유안타증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
003495,대한항공우,KOSPI,구형우선주,exclude,instrument_type_excluded
003535,한화투자증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
003545,대신증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
003547,대신증권2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
003555,LG우,KOSPI,구형우선주,exclude,instrument_type_excluded
0037T0,KB제32호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
003925,남양유업우,KOSPI,구형우선주,exclude,instrument_type_excluded
004105,태양금속우,KOSPI,구형우선주,exclude,instrument_type_excluded
0041B0,교보18호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
0041J0,엘에스스팩1호,KOSDAQ,보통주,exclude,instrument_name_excluded
0041L0,하나35호스팩,KOSDAQ,보통주,exclude,instrument_name_excluded
004255,NPC우,KOSPI,구형우선주,exclude,instrument_type_excluded
004365,세방우,KOSPI,구형우선주,exclude,instrument_type_excluded
004415,서울식품우,KOSPI,구형우선주,exclude,instrument_type_excluded
0044K0,삼성스팩10호,KOSDAQ,보통주,exclude,instrument_name_excluded
004545,깨끗한나라우,KOSPI,구형우선주,exclude,instrument_type_excluded
004835,덕성우,KOSPI,구형우선주,exclude,instrument_type_excluded
004985,성신양회우,KOSPI,구형우선주,exclude,instrument_type_excluded
00499K,롯데지주우,KOSPI,구형우선주,exclude,instrument_type_excluded
005030,부산주공,KOSPI,보통주,exclude,managed_issue_current
005110,한창,KOSPI,보통주,exclude,managed_issue_current
005257,녹십자홀딩스2우,KOSPI,신형우선주,exclude,instrument_type_excluded
005305,롯데칠성우,KOSPI,구형우선주,exclude,instrument_type_excluded
005385,현대차우,KOSPI,구형우선주,exclude,instrument_type_excluded
005387,현대차2우B,KOSPI,신형우선주,exclude,instrument_type_excluded
005389,현대차3우B,KOSPI,신형우선주,exclude,instrument_type_excluded
0054V0,엔에이치스팩32호,KOSDAQ,보통주,exclude,instrument_name_excluded
005725,넥센우,KOSPI,구형우선주,exclude,instrument_type_excluded
005745,크라운해태홀딩스우,KOSPI,구형우선주,exclude,instrument_type_excluded
005935,삼성전자우,KOSPI,구형우선주,exclude,instrument_type_excluded
005945,NH투자증권우,KOSPI,구형우선주,exclude,instrument_type_excluded
005965,동부건설우,KOSPI,구형우선주,exclude,instrument_type_excluded
