code,name,market,security_type,listing_date,listing_age_calendar_days,base_status,base_reason,status,reason,avg_trading_value_20d_krw,liquidity_filter_status,liquidity_filter_reason,liquidity_rows_available,liquidity_rows_used,liquidity_latest_date,liquidity_raw_path
000020,동화약품,KOSPI,보통주,1976/03/24,18343,include,eligible_current_snapshot,exclude,liquidity_value_below_threshold,780294214,fail,liquidity_value_below_threshold,71,20,20260615,_report/raw/2026/2026-06-15/quant/universe-ohlcv/000020.daily.raw.json
000040,KR모터스,KOSPI,보통주,1976/05/25,18281,include,eligible_current_snapshot,exclude,liquidity_value_below_threshold,91423666,fail,liquidity_value_below_threshold,71,20,20260615,_report/raw/2026/2026-06-15/quant/universe-ohlcv/000040.daily.raw.json
000050,경방,KOSPI,보통주,1956/03/03,25669,include,eligible_current_snapshot,exclude,liquidity_value_below_threshold,916143963,fail,liquidity_value_below_threshold,71,20,20260615,_report/raw/2026/2026-06-15/quant/universe-ohlcv/000050.daily.raw.json
000070,삼양홀딩스,KOSPI,보통주,1968/12/27,20987,include,eligible_current_snapshot,exclude,liquidity_value_below_threshold,790201820,fail,liquidity_value_below_threshold,71,20,20260615,_report/raw/2026/2026-06-15/quant/universe-ohlcv/000070.daily.raw.json
000087,하이트진로2우B,KOSPI,신형우선주,2011/09/26,5374,exclude,instrument_type_excluded,exclude,instrument_type_excluded,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
000105,유한양행우,KOSPI,구형우선주,1995/02/21,11435,exclude,instrument_type_excluded,exclude,instrument_type_excluded,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
000140,하이트진로홀딩스,KOSPI,보통주,1973/09/19,19260,include,eligible_current_snapshot,exclude,liquidity_value_below_threshold,228453086,fail,liquidity_value_below_threshold,71,20,20260615,_report/raw/2026/2026-06-15/quant/universe-ohlcv/000140.daily.raw.json
000145,하이트진로홀딩스우,KOSPI,구형우선주,1987/09/29,14137,exclude,instrument_type_excluded,exclude,instrument_type_excluded,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
000155,두산우,KOSPI,구형우선주,1986/07/31,14562,exclude,instrument_type_excluded,exclude,instrument_type_excluded,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
000157,두산2우B,KOSPI,신형우선주,1999/12/03,9689,exclude,instrument_type_excluded,exclude,instrument_type_excluded,,not_evaluated_preexisting_exclude,pre_liquidity_exclude,0,0,,
000180,성창기업지주,KOSPI,보통주,1976/06/02,18273,include,eligible_current_snapshot,exclude,liquidity_value_below_threshold,95916534,fail,liquidity_value_below_threshold,71,20,20260615,_report/raw/2026/2026-06-15/quant/universe-ohlcv/000180.daily.raw.json
