date,code,stock_name,market,close,signal_state,roc_pct,lookback,rank_in_date_state,source_strategy,signal_mode,pit_liquidity_final_status
2025-01-09,065170,비엘팜텍,KOSDAQ,2000,BUY candidate,754.7009,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,208710,바이오로그디바이스,KOSDAQ,778,BUY candidate,83.0588,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,060240,스타코링크,KOSDAQ,670,BUY candidate,59.1449,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,089790,제이티,KOSDAQ,5810,BUY candidate,58.7432,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,171010,램테크놀러지,KOSDAQ,4545,BUY candidate,53.2884,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,040910,아이씨디,KOSDAQ,6630,BUY candidate,51.8900,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,200470,에이팩트,KOSDAQ,3180,BUY candidate,51.0689,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,086960,MDS테크,KOSDAQ,1454,BUY candidate,49.5885,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,187660,현대ADM,KOSDAQ,2540,BUY candidate,49.4118,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,188260,세니젠,KOSDAQ,3965,BUY candidate,47.9478,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,011790,SKC,KOSPI,161600,BUY candidate,47.3108,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,052460,아이크래프트,KOSDAQ,2970,BUY candidate,47.0297,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,112290,와이씨켐,KOSDAQ,19930,BUY candidate,46.8681,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,038530,케이바이오,KOSDAQ,323,BUY candidate,45.4955,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,062970,한국첨단소재,KOSDAQ,8060,BUY candidate,45.2252,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,086390,유니테스트,KOSDAQ,13200,BUY candidate,45.0549,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,253840,수젠텍,KOSDAQ,9100,BUY candidate,41.7445,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,382150,온코크로스,KOSDAQ,8910,BUY candidate,40.7583,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,006660,삼성공조,KOSPI,12710,BUY candidate,40.5973,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,430690,한싹,KOSDAQ,5420,BUY candidate,40.4145,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,356680,엑스게이트,KOSDAQ,8420,SELL candidate,-26.0755,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,015020,이스타코,KOSPI,1690,SELL candidate,-24.2152,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,321370,센서뷰,KOSDAQ,1292,SELL candidate,-22.1687,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,115500,케이씨에스,KOSDAQ,11340,SELL candidate,-22.1154,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,056360,코위버,KOSDAQ,6420,SELL candidate,-19.2453,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,226950,올릭스,KOSDAQ,15450,SELL candidate,-18.5127,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,072130,유엔젤,KOSPI,4715,SELL candidate,-15.1978,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,115440,우리넷,KOSDAQ,7550,SELL candidate,-14.8816,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,052400,코나아이,KOSDAQ,24700,SELL candidate,-14.8276,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,065350,신성델타테크,KOSDAQ,92300,SELL candidate,-14.2990,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,172670,에이엘티,KOSDAQ,7910,SELL candidate,-14.1151,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,387570,파인메딕스,KOSDAQ,11450,SELL candidate,-14.0390,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,065500,오리엔트정공,KOSDAQ,6050,SELL candidate,-13.8177,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,232830,시큐센,KOSDAQ,2575,SELL candidate,-13.1535,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,066310,큐에스아이,KOSDAQ,8820,SELL candidate,-12.7596,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,178320,서진시스템,KOSDAQ,24050,SELL candidate,-12.0658,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,424960,스마트레이더시스템,KOSDAQ,13100,SELL candidate,-11.9624,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,065770,CS,KOSDAQ,1920,SELL candidate,-11.9266,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,230240,에치에프알,KOSDAQ,16060,SELL candidate,-11.9035,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-09,091440,한울소재과학,KOSDAQ,6320,SELL candidate,-11.8550,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-10,065170,비엘팜텍,KOSDAQ,2105,BUY candidate,799.5726,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-10,187660,현대ADM,KOSDAQ,2960,BUY candidate,82.7160,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-10,044380,주연테크,KOSPI,443,BUY candidate,43.3657,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-10,112290,와이씨켐,KOSDAQ,20050,BUY candidate,43.1121,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-10,171010,램테크놀러지,KOSDAQ,4320,BUY candidate,41.8719,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-10,089790,제이티,KOSDAQ,5430,BUY candidate,41.4062,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-10,299170,더블유에스아이,KOSDAQ,1849,BUY candidate,41.1450,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-10,001210,금호전기,KOSPI,1262,BUY candidate,39.1400,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
