date,market_rows,unique_codes,event_codes_present,rows_with_event_code,rows_without_event_code,rows_with_applied_status_event,rows_excluded_by_status_event,event_code_row_ratio,applied_status_event_row_ratio,status_exclusion_row_ratio,coverage_status,coverage_notes
2025-01-02,2745,2745,220,220,2525,15,15,0.080146,0.005464,0.005464,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-03,2745,2745,220,220,2525,15,15,0.080146,0.005464,0.005464,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-06,2745,2745,220,220,2525,15,15,0.080146,0.005464,0.005464,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-07,2745,2745,220,220,2525,15,15,0.080146,0.005464,0.005464,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-08,2744,2744,220,220,2524,15,15,0.080175,0.005466,0.005466,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-09,2744,2744,220,220,2524,15,15,0.080175,0.005466,0.005466,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-10,2744,2744,220,220,2524,15,15,0.080175,0.005466,0.005466,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-13,2744,2744,220,220,2524,15,15,0.080175,0.005466,0.005466,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-14,2744,2744,220,220,2524,15,15,0.080175,0.005466,0.005466,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-15,2744,2744,220,220,2524,16,16,0.080175,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-16,2744,2744,220,220,2524,16,16,0.080175,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-17,2744,2744,220,220,2524,16,16,0.080175,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-20,2744,2744,220,220,2524,16,16,0.080175,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-21,2744,2744,220,220,2524,16,16,0.080175,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-22,2744,2744,220,220,2524,16,16,0.080175,0.005831,0.005831,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-23,2746,2746,220,220,2526,16,16,0.080117,0.005827,0.005827,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-24,2749,2749,220,220,2529,16,16,0.080029,0.005820,0.005820,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-01-31,2749,2749,220,220,2529,16,16,0.080029,0.005820,0.005820,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-03,2750,2750,220,220,2530,16,16,0.080000,0.005818,0.005818,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-04,2751,2751,220,220,2531,16,16,0.079971,0.005816,0.005816,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-05,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-06,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-07,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-10,2751,2751,220,220,2531,16,16,0.079971,0.005816,0.005816,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-11,2750,2750,220,220,2530,16,16,0.080000,0.005818,0.005818,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-12,2751,2751,220,220,2531,16,16,0.079971,0.005816,0.005816,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-13,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-14,2751,2751,220,220,2531,16,16,0.079971,0.005816,0.005816,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-17,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-18,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-19,2751,2751,220,220,2531,16,16,0.079971,0.005816,0.005816,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-20,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-21,2751,2751,220,220,2531,16,16,0.079971,0.005816,0.005816,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-24,2751,2751,220,220,2531,16,16,0.079971,0.005816,0.005816,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-25,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-26,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
2025-02-27,2752,2752,220,220,2532,16,16,0.079942,0.005814,0.005814,hold,mode_not_historical_complete;no_release_like_events;missing_lifecycle_release_events
