date,code,stock_name,market,signal_state,horizon_trading_days,evaluation_status,forward_date,signal_close,forward_close,raw_forward_return_pct,directional_forward_score_pct,source_strategy,signal_mode,evaluation_mode
2025-02-04,010100,한국무브넥스,KOSPI,BUY candidate,1,complete,2025-02-05,6180.0000,7040.0000,13.9159,13.9159,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,010100,한국무브넥스,KOSPI,BUY candidate,5,complete,2025-02-11,6180.0000,5950.0000,-3.7217,-3.7217,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,300080,플리토,KOSDAQ,BUY candidate,1,complete,2025-02-05,25200.0000,26150.0000,3.7698,3.7698,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,300080,플리토,KOSDAQ,BUY candidate,5,complete,2025-02-11,25200.0000,24000.0000,-4.7619,-4.7619,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,160190,하이젠알앤엠,KOSDAQ,BUY candidate,1,complete,2025-02-05,42000.0000,42000.0000,0.0000,0.0000,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,160190,하이젠알앤엠,KOSDAQ,BUY candidate,5,complete,2025-02-11,42000.0000,39000.0000,-7.1429,-7.1429,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,301300,바이브컴퍼니,KOSDAQ,BUY candidate,1,complete,2025-02-05,6020.0000,6770.0000,12.4585,12.4585,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,301300,바이브컴퍼니,KOSDAQ,BUY candidate,5,complete,2025-02-11,6020.0000,5880.0000,-2.3256,-2.3256,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,113810,디젠스,KOSDAQ,BUY candidate,1,complete,2025-02-05,1775.0000,1650.0000,-7.0423,-7.0423,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,113810,디젠스,KOSDAQ,BUY candidate,5,complete,2025-02-11,1775.0000,2085.0000,17.4648,17.4648,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
