date,horizon_trading_days,benchmark_label,attribution_status,target_rows,complete_rows,benchmark_joined_rows,cost_covered_rows,gross_target_weight,covered_gross_weight,missing_gross_weight,cash_weight,gross_return_pct,baseline_cost_pct,stress_cost_pct,baseline_net_return_pct,stress_net_return_pct,benchmark_return_pct,baseline_active_return_pct,stress_active_return_pct,cash_drag_vs_benchmark_pct,baseline_round_trip_bps_weighted_avg,stress_round_trip_bps_weighted_avg,markets,broker_fee_override_required,attribution_mode,order_intent_generated,notes
2025-02-04,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,4.0869,0.3300,0.7000,3.7569,3.3869,1.1113,2.6456,2.2756,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-05,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,1.6179,0.3300,0.7000,1.2879,0.9179,1.0951,0.1928,-0.1772,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-06,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-0.5553,0.3300,0.7000,-0.8853,-1.2553,-0.5846,-0.3007,-0.6707,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-07,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,1.0469,0.3300,0.7000,0.7169,0.3469,-0.0258,0.7427,0.3727,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-10,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,2.2295,0.3300,0.7000,1.8995,1.5295,0.7052,1.1943,0.8243,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-11,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-1.7512,0.3300,0.7000,-2.0812,-2.4512,0.3679,-2.4491,-2.8191,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-12,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,3.3519,0.3300,0.7000,3.0219,2.6519,1.3648,1.6571,1.2871,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-13,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-0.6723,0.3300,0.7000,-1.0023,-1.3723,0.3051,-1.3074,-1.6774,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-14,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,3.1014,0.3300,0.7000,2.7714,2.4014,0.7476,2.0238,1.6538,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-17,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,1.3800,0.3300,0.7000,1.0500,0.6800,0.6279,0.4221,0.0521,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-18,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-0.1508,0.3300,0.7000,-0.4808,-0.8508,1.7021,-2.1829,-2.5529,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-19,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,0.6617,0.3300,0.7000,0.3317,-0.0383,-0.6536,0.9853,0.6153,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-20,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-1.8658,0.3300,0.7000,-2.1958,-2.5658,0.0196,-2.2154,-2.5854,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-21,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-2.0886,0.3300,0.7000,-2.4186,-2.7886,-0.3507,-2.0679,-2.4379,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-24,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-2.2327,0.3300,0.7000,-2.5627,-2.9327,-0.5663,-1.9964,-2.3664,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-25,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-1.1545,0.3300,0.7000,-1.4845,-1.8545,0.4106,-1.8951,-2.2651,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-26,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,0.1121,0.3300,0.7000,-0.2179,-0.5879,-0.7323,0.5144,0.1444,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-27,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-2.0531,0.3300,0.7000,-2.3831,-2.7531,-3.3935,1.0104,0.6404,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-02-28,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-4.0064,0.3300,0.7000,-4.3364,-4.7064,-0.1524,-4.1840,-4.5540,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-04,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,2.3124,0.3300,0.7000,1.9824,1.6124,1.1550,0.8274,0.4574,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-05,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,1.4125,0.3300,0.7000,1.0825,0.7125,0.7048,0.3777,0.0077,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-06,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-3.6670,0.3300,0.7000,-3.9970,-4.3670,-0.4922,-3.5048,-3.8748,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-07,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,1.7530,0.3300,0.7000,1.4230,1.0530,0.2696,1.1534,0.7834,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-10,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-0.8655,0.3300,0.7000,-1.1955,-1.5655,-1.2757,0.0802,-0.2898,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-11,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,0.5840,0.3300,0.7000,0.2540,-0.1160,1.4667,-1.2127,-1.5827,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-12,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-2.7670,0.3300,0.7000,-3.0970,-3.4670,-0.0458,-3.0512,-3.4212,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-13,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,0.1101,0.3300,0.7000,-0.2199,-0.5899,-0.2829,0.0630,-0.3070,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-14,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-0.7303,0.3300,0.7000,-1.0603,-1.4303,1.7273,-2.7876,-3.1576,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-17,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-0.7852,0.3300,0.7000,-1.1152,-1.4852,0.0632,-1.1784,-1.5484,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-18,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-1.2102,0.3300,0.7000,-1.5402,-1.9102,0.6232,-2.1634,-2.5334,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-19,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-1.9282,0.3300,0.7000,-2.2582,-2.6282,0.3226,-2.5808,-2.9508,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-20,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-3.1450,0.3300,0.7000,-3.4750,-3.8450,0.2287,-3.7037,-4.0737,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-21,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-1.5722,0.3300,0.7000,-1.9022,-2.2722,-0.4184,-1.4838,-1.8538,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-24,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,0.3801,0.3300,0.7000,0.0501,-0.3199,-0.6178,0.6679,0.2979,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-25,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-3.7362,0.3300,0.7000,-4.0662,-4.4362,1.0754,-5.1416,-5.5116,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-26,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-1.4189,0.3300,0.7000,-1.7489,-2.1189,-1.3915,-0.3574,-0.7274,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-27,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-1.9918,0.3300,0.7000,-2.3218,-2.6918,-1.8860,-0.4358,-0.8058,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-28,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-0.1384,0.3300,0.7000,-0.4684,-0.8384,-3.0047,2.5363,2.1663,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-03-31,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,7.6629,0.3300,0.7000,7.3329,6.9629,1.6231,5.7098,5.3398,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-01,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,2.8777,0.3300,0.7000,2.5477,2.1777,-0.6159,3.1636,2.7936,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-02,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-2.0982,0.3300,0.7000,-2.4282,-2.7982,-0.7646,-1.6636,-2.0336,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-03,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,3.9291,0.3300,0.7000,3.5991,3.2291,-0.8558,4.4549,4.0849,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-04,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,14.1586,0.3300,0.7000,13.8286,13.4586,-5.5658,19.3944,19.0244,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-07,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,0.6639,0.3300,0.7000,0.3339,-0.0361,0.2590,0.0749,-0.2951,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-08,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-5.5424,0.3300,0.7000,-5.8724,-6.2424,-1.7363,-4.1361,-4.5061,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-09,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,2.5854,0.3300,0.7000,2.2554,1.8854,6.5989,-4.3435,-4.7135,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-10,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,-0.7744,0.3300,0.7000,-1.1044,-1.4744,-0.5047,-0.5997,-0.9697,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-11,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,2.7058,0.3300,0.7000,2.3758,2.0058,0.9524,1.4234,1.0534,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-14,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,0.1867,0.3300,0.7000,-0.1433,-0.5133,0.8763,-1.0196,-1.3896,-0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-15,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,0.7816,0.3300,0.7000,0.4516,0.0816,-1.2101,1.6617,1.2917,0.0000,33.0000,70.0000,KOSDAQ;KOSPI,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
2025-04-16,1,KOSPI,pass_smoke_assumption_only,20,20,20,20,1.000000,1.000000,0.000000,0.000000,6.0500,0.3300,0.7000,5.7200,5.3500,0.9389,4.7811,4.4111,-0.0000,33.0000,70.0000,KOSDAQ,true,paper_backtest_attribution_smoke_assumption_only,false,broker_fee_override_required
