code,status_type,status_value,event_date,source,confidence,source_url,current_market,raw_path_count,raw_capture_dates,raw_paths,collection_target,notes
0099X0,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=IBKS제25호스팩; 사유=SPAC 합병(예비심사청구대상) | raw_capture_dates=2026-07-03
0099X0,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=IBKS제25호스팩; 사유=SPAC 합병(예비심사청구대상) | raw_capture_dates=2026-07-08
092590,market_alert,caution,2026-07-03,kind,high,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,resolve_market_label,snapshot=market_alert_caution; 종목명=럭스피아; 유형=투자경고 지정예고; 공시일=2026-07-02 | raw_capture_dates=2026-07-03
092590,market_alert,warning,2026-07-06,kind,high,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/market_alert_warning.xls,resolve_market_label,snapshot=market_alert_warning; 종목명=럭스피아; 공시일=2026-07-03 | raw_capture_dates=2026-07-08
149300,delisting,delisted,2026-05-20,kind,high,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,UNKNOWN,2,2026-07-03;2026-07-08,_report/raw/2026/2026-07-03/kind/status-source-probe/delisted_company.xls;_report/raw/2026/2026-07-08/kind/status-source-probe/delisted_company.xls,resolve_market_label,"snapshot=delisted_company; 회사명=아퓨어스; 폐지사유=감사의견 의견거절 | merged_observations=2 | raw_capture_dates=2026-07-03,2026-07-08"
212310,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=오건에코텍; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
212310,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=오건에코텍; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
217880,market_alert,caution,2026-07-03,kind,high,https://kind.krx.co.kr/investwarn/investattentwarnrisky.do?method=investattentwarnriskyMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/market_alert_caution.xls,resolve_market_label,snapshot=market_alert_caution; 종목명=틸론; 유형=종가급변; 공시일=2026-07-02 | raw_capture_dates=2026-07-03
222670,trading_halt,halted,2026-07-03,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-03,_report/raw/2026/2026-07-03/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=플럼라인생명과학; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-03
222670,trading_halt,halted,2026-07-08,kind,medium,https://kind.krx.co.kr/investwarn/tradinghaltissue.do?method=searchTradingHaltIssueMain,UNKNOWN,1,2026-07-08,_report/raw/2026/2026-07-08/kind/status-source-probe/trading_halt.xls,resolve_market_label,snapshot=trading_halt; 종목명=플럼라인생명과학; 사유=코넥스 주권 상장폐지 사유발생 | raw_capture_dates=2026-07-08
