row_number,batch_id,status_type,source,evidence_capture_status,source_url_status,raw_path_status,raw_path_exists,confidence_status,order_intent_status,materializable_status,missing_fields
2,P1-001,delisting,kind,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
3,P1-002,delisting,krx_data_marketplace,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
4,P1-003,delisting,manual_snapshot,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
5,P1-004,managed_issue,kind,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
6,P1-005,managed_issue,krx_data_marketplace,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
7,P1-006,managed_issue,manual_snapshot,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
8,P1-007,market_alert,krx_data_marketplace,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
9,P1-008,market_alert,manual_snapshot,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
10,P1-009,trading_halt,kind,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
11,P1-010,trading_halt,manual_snapshot,pending_official_raw_capture,missing,missing,false,invalid_or_missing,pass,blocked,source_url_to_fill;raw_path_to_fill;confidence_to_fill;evidence_capture_status
